epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13972.6,1.0001,0.57983,0.98759,0.6741,0.60175,0.60199,0.4269,1.23156,0.64837,1.02829,0.000900844,0.000900844,0.000900844
43,14271.5,0.98859,0.57449,0.97763,0.70748,0.56303,0.66269,0.45014,1.22397,0.66192,1.02277,0.000896127,0.000896127,0.000896127
44,14570.5,0.97635,0.56706,0.98115,0.87137,0.50827,0.63332,0.43542,1.21775,0.65497,1.01936,0.000891313,0.000891313,0.000891313
45,14873.5,0.99723,0.56954,0.97182,0.5255,0.66189,0.64887,0.45542,1.22497,0.66954,1.02911,0.000886404,0.000886404,0.000886404
46,15173.2,0.96747,0.55825,0.97831,0.67087,0.60242,0.65763,0.44381,1.22551,0.64545,1.03551,0.000881401,0.000881401,0.000881401
47,15472.4,0.96992,0.55654,0.97607,0.75591,0.65025,0.68049,0.47576,1.2253,0.65608,1.02419,0.000876305,0.000876305,0.000876305
48,15767.1,0.97129,0.55641,0.97485,0.67311,0.65703,0.65485,0.46613,1.21329,0.63745,1.01667,0.000871117,0.000871117,0.000871117
49,16061.5,0.97563,0.55718,0.97471,0.64278,0.65163,0.65985,0.45362,1.22425,0.64557,1.02187,0.000865839,0.000865839,0.000865839
50,16354.2,0.96943,0.55604,0.97265,0.74118,0.62855,0.66219,0.46784,1.2247,0.67064,1.03054,0.000860473,0.000860473,0.000860473
51,16647.6,0.97976,0.55784,0.97656,0.86367,0.58351,0.63122,0.42807,1.22739,0.65277,1.02729,0.000855018,0.000855018,0.000855018
52,16939.8,0.96596,0.55092,0.96761,0.67223,0.60432,0.63215,0.42957,1.20994,0.65098,1.01577,0.000849477,0.000849477,0.000849477
53,17234.9,0.95859,0.54126,0.96695,0.67162,0.6535,0.66236,0.45272,1.21423,0.64405,1.02349,0.000843851,0.000843851,0.000843851
