epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,523.485,1.72271,1.87588,0.01789,0.53737,0.26861,0.31433,0.1856,1.76062,1.61942,0.02355,0.000199778,0.000199778,0.080222
2,949.552,1.5368,1.20461,0.01489,0.59856,0.45095,0.44262,0.23796,1.53684,1.22556,0.01648,0.000399753,0.000399753,0.060422
3,1375.93,1.46265,1.06368,0.01312,0.59403,0.48235,0.49894,0.25779,1.64099,1.12151,0.02348,0.000599631,0.000599631,0.0406219
4,1836.4,1.40198,0.94795,0.01208,0.68546,0.53377,0.49584,0.30201,1.42416,1.12366,0.0146,0.000799338,0.000799338,0.0208216
5,2363.03,1.35368,0.88533,0.01084,0.56739,0.52145,0.51712,0.30186,1.48708,0.91232,0.01821,0.000998801,0.000998801,0.00102102
6,3468.71,1.31723,0.83743,0.01027,0.63247,0.5352,0.55769,0.33397,1.36617,0.86171,0.01361,0.000998474,0.000998474,0.000998474
7,4115.03,1.30392,0.82533,0.01008,0.68022,0.4851,0.6139,0.38217,1.31386,0.80645,0.01401,0.000997803,0.000997803,0.000997803
8,4432.66,1.27941,0.81601,0.00965,0.63122,0.53045,0.61265,0.38091,1.31014,0.86926,0.01328,0.000997011,0.000997011,0.000997011
9,4748.82,1.26509,0.78181,0.00936,0.80975,0.48295,0.6083,0.36665,1.37219,0.85014,0.01425,0.000996097,0.000996097,0.000996097
10,5064.7,1.25794,0.75516,0.00924,0.76753,0.60101,0.64624,0.41064,1.24499,0.7499,0.01112,0.000995062,0.000995062,0.000995062
11,5405.03,1.2349,0.73758,0.00882,0.73795,0.61414,0.639,0.43114,1.21863,0.69824,0.01127,0.000993906,0.000993906,0.000993906
12,5773.06,1.2327,0.71788,0.00906,0.84804,0.53162,0.6144,0.38161,1.27041,0.7607,0.01169,0.000992629,0.000992629,0.000992629
13,6144.99,1.24441,0.74613,0.00949,0.85192,0.61654,0.63864,0.39508,1.32943,0.74462,0.01541,0.000991232,0.000991232,0.000991232
14,6504.06,1.23147,0.7314,0.00911,0.78383,0.63068,0.67119,0.4018,1.26032,0.72539,0.01183,0.000989715,0.000989715,0.000989715
15,6877.05,1.20025,0.70508,0.0083,0.88941,0.59129,0.68095,0.45818,1.16234,0.77542,0.00926,0.000988079,0.000988079,0.000988079
16,7198.06,1.18178,0.67327,0.00784,0.81201,0.59721,0.7517,0.46946,1.22029,0.68708,0.01087,0.000986323,0.000986323,0.000986323
17,7547.72,1.18553,0.68927,0.00813,0.91327,0.62308,0.75539,0.45664,1.22483,0.71001,0.01181,0.000984449,0.000984449,0.000984449
18,7916.3,1.19212,0.6628,0.00823,0.80933,0.64111,0.73317,0.45126,1.17946,0.70377,0.01003,0.000982456,0.000982456,0.000982456
19,8280.29,1.17428,0.66593,0.00824,0.85673,0.60324,0.71411,0.44656,1.28023,0.80369,0.01205,0.000980345,0.000980345,0.000980345
20,8637.73,1.17144,0.67413,0.00769,0.88884,0.62691,0.73576,0.46163,1.28701,0.789,0.01092,0.000978118,0.000978118,0.000978118
21,8996.88,1.18755,0.67601,0.00802,0.87327,0.6107,0.74653,0.46629,1.23474,0.7363,0.01028,0.000975773,0.000975773,0.000975773
22,9356.31,1.16143,0.63643,0.00768,0.87857,0.66577,0.72808,0.44759,1.2011,0.6606,0.01088,0.000973312,0.000973312,0.000973312
23,9722.28,1.18334,0.65011,0.00798,0.89784,0.62485,0.72916,0.4658,1.20237,0.69211,0.01001,0.000970736,0.000970736,0.000970736
24,10084.5,1.15953,0.63971,0.00809,0.78309,0.71942,0.73965,0.44186,1.19986,0.68425,0.01054,0.000968045,0.000968045,0.000968045
25,10445.9,1.16724,0.65749,0.00785,0.78174,0.77768,0.76938,0.45893,1.21763,0.62464,0.01193,0.000965239,0.000965239,0.000965239
26,10803.5,1.14898,0.63242,0.00759,0.79843,0.7689,0.76294,0.48057,1.16885,0.67283,0.01064,0.00096232,0.00096232,0.00096232
27,11157.6,1.14197,0.63501,0.00762,0.73855,0.71077,0.76181,0.47593,1.1603,0.65593,0.00909,0.000959289,0.000959289,0.000959289
28,11512.5,1.1369,0.61867,0.00763,0.80132,0.74292,0.76308,0.49734,1.1427,0.59772,0.00941,0.000956145,0.000956145,0.000956145
29,11866,1.13257,0.60979,0.0073,0.91663,0.64702,0.76791,0.50015,1.13695,0.5768,0.00913,0.000952889,0.000952889,0.000952889
30,12221.1,1.13308,0.60752,0.0074,0.83196,0.71339,0.78895,0.50856,1.16214,0.61282,0.00892,0.000949524,0.000949524,0.000949524
31,12577.1,1.12324,0.59374,0.00723,0.77502,0.76108,0.77377,0.51391,1.11736,0.66973,0.00877,0.000946048,0.000946048,0.000946048
32,12933.5,1.12411,0.60308,0.00713,0.88065,0.69053,0.77184,0.4896,1.14276,0.60491,0.00891,0.000942464,0.000942464,0.000942464
33,13289.2,1.11166,0.61429,0.00699,0.84348,0.73944,0.77163,0.48805,1.12462,0.64237,0.00776,0.000938772,0.000938772,0.000938772
34,13641.7,1.11742,0.59667,0.00707,0.88345,0.70824,0.7678,0.50777,1.11986,0.62345,0.00779,0.000934973,0.000934973,0.000934973
35,13997.9,1.11757,0.58141,0.00698,0.8096,0.71656,0.7499,0.49489,1.13396,0.66811,0.00872,0.000931067,0.000931067,0.000931067
36,14361.8,1.10632,0.59288,0.00706,0.88054,0.69304,0.74614,0.49434,1.11957,0.62014,0.00867,0.000927057,0.000927057,0.000927057
37,14724.9,1.11916,0.58701,0.00718,0.7781,0.76849,0.77849,0.52442,1.11696,0.57961,0.00885,0.000922942,0.000922942,0.000922942
38,17624.1,1.11108,0.60036,0.00702,0.89033,0.748,0.80499,0.5318,1.07249,0.57891,0.00772,0.000918725,0.000918725,0.000918725
39,17936.6,1.09445,0.57182,0.00695,0.89772,0.75434,0.79256,0.5192,1.13831,0.61703,0.00944,0.000914405,0.000914405,0.000914405
40,18250.2,1.08224,0.57077,0.00671,0.87712,0.7273,0.78104,0.49985,1.10378,0.60437,0.00769,0.000909984,0.000909984,0.000909984
41,18587,1.09588,0.57456,0.00677,0.88104,0.76377,0.78709,0.51707,1.10129,0.58079,0.00827,0.000905463,0.000905463,0.000905463
42,18942.3,1.08826,0.56899,0.00668,0.84231,0.78778,0.80518,0.51349,1.09646,0.57313,0.00823,0.000900844,0.000900844,0.000900844
43,19296.9,1.08117,0.56672,0.00663,0.77192,0.76947,0.79715,0.49022,1.11905,0.63705,0.00819,0.000896127,0.000896127,0.000896127
44,19653.1,1.06894,0.55999,0.00665,0.84498,0.76478,0.79128,0.52861,1.06957,0.58694,0.00752,0.000891313,0.000891313,0.000891313
45,20006.5,1.07045,0.54366,0.00638,0.93175,0.69244,0.77373,0.52766,1.10572,0.58113,0.00862,0.000886404,0.000886404,0.000886404
46,20358.3,1.06802,0.55624,0.00642,0.91558,0.69018,0.78273,0.52777,1.08094,0.57073,0.00762,0.000881401,0.000881401,0.000881401
47,20710.8,1.06708,0.55889,0.00651,0.919,0.76073,0.82674,0.55149,1.10205,0.60493,0.00863,0.000876305,0.000876305,0.000876305
48,21062.1,1.07091,0.55473,0.0065,0.91227,0.70101,0.80187,0.52212,1.08574,0.58112,0.00797,0.000871117,0.000871117,0.000871117
49,21412.2,1.06248,0.54873,0.00646,0.90611,0.70576,0.78968,0.50844,1.09559,0.57644,0.00816,0.000865839,0.000865839,0.000865839
50,21763.4,1.0735,0.55047,0.00641,0.89251,0.77311,0.8211,0.53986,1.06051,0.55625,0.00714,0.000860473,0.000860473,0.000860473
51,22112.6,1.07103,0.55442,0.00649,0.89137,0.68945,0.77279,0.51804,1.07849,0.59561,0.00807,0.000855018,0.000855018,0.000855018
52,22464.6,1.05808,0.54245,0.00629,0.90294,0.69389,0.776,0.5024,1.0841,0.60945,0.00838,0.000849477,0.000849477,0.000849477
53,22822.6,1.05209,0.5345,0.00647,0.91813,0.73417,0.79545,0.52523,1.09622,0.60581,0.00861,0.000843851,0.000843851,0.000843851
54,26547.2,1.05585,0.53146,0.00643,0.89161,0.74565,0.77164,0.52536,1.09428,0.5856,0.00829,0.000838141,0.000838141,0.000838141
55,27169.1,1.05166,0.5424,0.00646,0.92301,0.75307,0.80355,0.54038,1.108,0.60308,0.0087,0.000832349,0.000832349,0.000832349
56,38235.7,1.04594,0.54328,0.0063,0.91526,0.73934,0.79992,0.5208,1.07689,0.55236,0.00736,0.000826477,0.000826477,0.000826477
57,39004.3,1.0495,0.51933,0.00619,0.89874,0.71023,0.77006,0.52594,1.05523,0.59192,0.00667,0.000820525,0.000820525,0.000820525
